ProbeName	Transcript_ID	Species	Amadid	Description
DETOX_1_PI422610884	AGAP002278-RA	Anopheles gambiae	27057	ABCB1 - ABC transporter
DETOX_10_PI422610884	AGAP006364-RA	Anopheles gambiae	27057	ABCB4A - ABC transporter
DETOX_100_PI422610884	AGAP010915-RA	Anopheles gambiae	27057	COE09941 - Putative Carboxylesterase
DETOX_101_PI422610884	AGAP010915-RA	Anopheles gambiae	27057	COE09941 - Putative Carboxylesterase
DETOX_102_PI422610884	AGAP010915-RA	Anopheles gambiae	27057	COE09941 - Putative Carboxylesterase ; alternative detox probe for AG_DETOX_P029
DETOX_103_PI422610884	AGAP006956-RA	Anopheles gambiae	27057	COE10O - Putative Carboxylesterase
DETOX_104_PI422610884	AGAP006956-RA	Anopheles gambiae	27057	COE10O - Putative Carboxylesterase
DETOX_105_PI422610884	AGAP006956-RA	Anopheles gambiae	27057	COE10O - Putative Carboxylesterase ; alternative detox probe for AG_DETOX_P030
DETOX_106_PI422610884	AGAP010390-RA	Anopheles gambiae	27057	COE12O - Putative Carboxylesterase
DETOX_107_PI422610884	AGAP010390-RA	Anopheles gambiae	27057	COE12O - Putative Carboxylesterase
DETOX_108_PI422610884	AGAP010390-RA	Anopheles gambiae	27057	COE12O - Putative Carboxylesterase ; alternative detox probe for AG_DETOX_P031
DETOX_109_PI422610884	AGAP011507-RA	Anopheles gambiae	27057	COE13O - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K20
DETOX_11_PI422610884	AGAP006364-RA	Anopheles gambiae	27057	ABCB4A - ABC transporter
DETOX_110_PI422610884	AGAP011507-RA	Anopheles gambiae	27057	COE13O - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K20
DETOX_111_PI422610884	AGAP011507-RA	Anopheles gambiae	27057	COE13O - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K20; alternative detox probe for AG_DETOX_P032
DETOX_112_PI422610884	AGAP011575-RA	Anopheles gambiae	27057	COE15O - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K24
DETOX_113_PI422610884	AGAP011575-RA	Anopheles gambiae	27057	COE15O - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K24
DETOX_114_PI422610884	AGAP011575-RA	Anopheles gambiae	27057	COE15O - Carboxylesterase; target probed by LSTM-AGAM-DETOX V3 probe agam-detox-1K24; alternative detox probe for AG_DETOX_P033
DETOX_115_PI422610884	AGAP011366-RA	Anopheles gambiae	27057	COE18026 - Carboxylesterase
DETOX_116_PI422610884	AGAP011366-RA	Anopheles gambiae	27057	COE18026 - Carboxylesterase
DETOX_117_PI422610884	AGAP011366-RA	Anopheles gambiae	27057	COE18026 - Carboxylesterase ; alternative detox probe for AG_DETOX_P035
DETOX_118_PI422610884	AGAP011365-RA	Anopheles gambiae	27057	COE21998 - Carboxylesterase
DETOX_119_PI422610884	AGAP011365-RA	Anopheles gambiae	27057	COE21998 - Carboxylesterase
DETOX_12_PI422610884	AGAP006364-RA	Anopheles gambiae	27057	ABCB4A - ABC transporter ; alternative detox probe for AG_DETOX_P004
DETOX_120_PI422610884	AGAP011365-RA	Anopheles gambiae	27057	COE21998 - Carboxylesterase ; alternative detox probe for AG_DETOX_P036
